Source,Target,Number of samples,Alpha,ROI,Method
sub-01,sub-02,300,1,VC,wholeVC
sub-01,sub-02,600,2,VC,wholeVC
sub-01,sub-02,900,6,VC,wholeVC
sub-01,sub-02,1200,1,VC,wholeVC
sub-01,sub-02,2400,220,VC,wholeVC
sub-01,sub-02,3600,540,VC,wholeVC
sub-01,sub-02,4800,640,VC,wholeVC
sub-01,sub-02,6000,820,VC,wholeVC
sub-02,sub-01,300,1,VC,wholeVC
sub-02,sub-01,600,1,VC,wholeVC
sub-02,sub-01,900,1,VC,wholeVC
sub-02,sub-01,1200,1,VC,wholeVC
sub-02,sub-01,2400,780,VC,wholeVC
sub-02,sub-01,3600,1000,VC,wholeVC
sub-02,sub-01,4800,1200,VC,wholeVC
sub-02,sub-01,6000,1200,VC,wholeVC
sub-03,sub-01,300,1,VC,wholeVC
sub-03,sub-01,600,1,VC,wholeVC
sub-03,sub-01,900,1,VC,wholeVC
sub-03,sub-01,1200,1,VC,wholeVC
sub-03,sub-01,2400,520,VC,wholeVC
sub-03,sub-01,3600,680,VC,wholeVC
sub-03,sub-01,4800,1000,VC,wholeVC
sub-03,sub-01,6000,1000,VC,wholeVC
sub-03,sub-02,300,2,VC,wholeVC
sub-03,sub-02,600,2,VC,wholeVC
sub-03,sub-02,900,8,VC,wholeVC
sub-03,sub-02,1200,1,VC,wholeVC
sub-03,sub-02,2400,620,VC,wholeVC
sub-03,sub-02,3600,820,VC,wholeVC
sub-03,sub-02,4800,1000,VC,wholeVC
sub-03,sub-02,6000,1200,VC,wholeVC
sub-04,sub-01,300,1,VC,wholeVC
sub-04,sub-01,600,1,VC,wholeVC
sub-04,sub-01,900,2,VC,wholeVC
sub-04,sub-01,1200,8,VC,wholeVC
sub-04,sub-01,2400,580,VC,wholeVC
sub-04,sub-01,3600,620,VC,wholeVC
sub-04,sub-01,4800,1000,VC,wholeVC
sub-04,sub-01,6000,1000,VC,wholeVC
sub-04,sub-02,300,1,VC,wholeVC
sub-04,sub-02,600,2,VC,wholeVC
sub-04,sub-02,900,4,VC,wholeVC
sub-04,sub-02,1200,2,VC,wholeVC
sub-04,sub-02,2400,620,VC,wholeVC
sub-04,sub-02,3600,820,VC,wholeVC
sub-04,sub-02,4800,1000,VC,wholeVC
sub-04,sub-02,6000,1000,VC,wholeVC
sub-05,sub-01,300,1,VC,wholeVC
sub-05,sub-01,600,2,VC,wholeVC
sub-05,sub-01,900,1,VC,wholeVC
sub-05,sub-01,1200,8,VC,wholeVC
sub-05,sub-01,2400,340,VC,wholeVC
sub-05,sub-01,3600,580,VC,wholeVC
sub-05,sub-01,4800,600,VC,wholeVC
sub-05,sub-01,6000,820,VC,wholeVC
sub-05,sub-02,300,2,VC,wholeVC
sub-05,sub-02,600,2,VC,wholeVC
sub-05,sub-02,900,2,VC,wholeVC
sub-05,sub-02,1200,1,VC,wholeVC
sub-05,sub-02,2400,320,VC,wholeVC
sub-05,sub-02,3600,600,VC,wholeVC
sub-05,sub-02,4800,600,VC,wholeVC
sub-05,sub-02,6000,740,VC,wholeVC
sub-01,sub-03,300,1,VC,wholeVC
sub-01,sub-03,600,1,VC,wholeVC
sub-01,sub-03,900,1,VC,wholeVC
sub-01,sub-03,1200,2,VC,wholeVC
sub-01,sub-03,2400,280,VC,wholeVC
sub-01,sub-03,3600,400,VC,wholeVC
sub-01,sub-03,4800,600,VC,wholeVC
sub-01,sub-03,6000,780,VC,wholeVC
sub-01,sub-04,300,1,VC,wholeVC
sub-01,sub-04,600,1,VC,wholeVC
sub-01,sub-04,900,1,VC,wholeVC
sub-01,sub-04,1200,1,VC,wholeVC
sub-01,sub-04,2400,240,VC,wholeVC
sub-01,sub-04,3600,420,VC,wholeVC
sub-01,sub-04,4800,580,VC,wholeVC
sub-01,sub-04,6000,800,VC,wholeVC
sub-01,sub-05,300,1,VC,wholeVC
sub-01,sub-05,600,1,VC,wholeVC
sub-01,sub-05,900,1,VC,wholeVC
sub-01,sub-05,1200,1,VC,wholeVC
sub-01,sub-05,2400,400,VC,wholeVC
sub-01,sub-05,3600,420,VC,wholeVC
sub-01,sub-05,4800,480,VC,wholeVC
sub-01,sub-05,6000,660,VC,wholeVC
sub-02,sub-03,300,1,VC,wholeVC
sub-02,sub-03,600,1,VC,wholeVC
sub-02,sub-03,900,1,VC,wholeVC
sub-02,sub-03,1200,1,VC,wholeVC
sub-02,sub-03,2400,800,VC,wholeVC
sub-02,sub-03,3600,800,VC,wholeVC
sub-02,sub-03,4800,1000,VC,wholeVC
sub-02,sub-03,6000,1200,VC,wholeVC
sub-02,sub-04,300,1,VC,wholeVC
sub-02,sub-04,600,1,VC,wholeVC
sub-02,sub-04,900,40,VC,wholeVC
sub-02,sub-04,1200,380,VC,wholeVC
sub-02,sub-04,2400,600,VC,wholeVC
sub-02,sub-04,3600,800,VC,wholeVC
sub-02,sub-04,4800,1200,VC,wholeVC
sub-02,sub-04,6000,1400,VC,wholeVC
sub-02,sub-05,300,10,VC,wholeVC
sub-02,sub-05,600,1,VC,wholeVC
sub-02,sub-05,900,2,VC,wholeVC
sub-02,sub-05,1200,8,VC,wholeVC
sub-02,sub-05,2400,560,VC,wholeVC
sub-02,sub-05,3600,600,VC,wholeVC
sub-02,sub-05,4800,1000,VC,wholeVC
sub-02,sub-05,6000,1000,VC,wholeVC
sub-03,sub-04,300,1,VC,wholeVC
sub-03,sub-04,600,2,VC,wholeVC
sub-03,sub-04,900,1,VC,wholeVC
sub-03,sub-04,1200,1,VC,wholeVC
sub-03,sub-04,2400,380,VC,wholeVC
sub-03,sub-04,3600,580,VC,wholeVC
sub-03,sub-04,4800,800,VC,wholeVC
sub-03,sub-04,6000,1200,VC,wholeVC
sub-03,sub-05,300,1,VC,wholeVC
sub-03,sub-05,600,1,VC,wholeVC
sub-03,sub-05,900,1,VC,wholeVC
sub-03,sub-05,1200,38,VC,wholeVC
sub-03,sub-05,2400,400,VC,wholeVC
sub-03,sub-05,3600,460,VC,wholeVC
sub-03,sub-05,4800,800,VC,wholeVC
sub-03,sub-05,6000,1000,VC,wholeVC
sub-04,sub-03,300,1,VC,wholeVC
sub-04,sub-03,600,1,VC,wholeVC
sub-04,sub-03,900,10,VC,wholeVC
sub-04,sub-03,1200,24,VC,wholeVC
sub-04,sub-03,2400,420,VC,wholeVC
sub-04,sub-03,3600,640,VC,wholeVC
sub-04,sub-03,4800,800,VC,wholeVC
sub-04,sub-03,6000,1200,VC,wholeVC
sub-04,sub-05,300,2,VC,wholeVC
sub-04,sub-05,600,1,VC,wholeVC
sub-04,sub-05,900,1,VC,wholeVC
sub-04,sub-05,1200,2,VC,wholeVC
sub-04,sub-05,2400,420,VC,wholeVC
sub-04,sub-05,3600,740,VC,wholeVC
sub-04,sub-05,4800,1000,VC,wholeVC
sub-04,sub-05,6000,1400,VC,wholeVC
sub-05,sub-03,300,2,VC,wholeVC
sub-05,sub-03,600,1,VC,wholeVC
sub-05,sub-03,900,2,VC,wholeVC
sub-05,sub-03,1200,24,VC,wholeVC
sub-05,sub-03,2400,420,VC,wholeVC
sub-05,sub-03,3600,620,VC,wholeVC
sub-05,sub-03,4800,580,VC,wholeVC
sub-05,sub-03,6000,620,VC,wholeVC
sub-05,sub-04,300,1,VC,wholeVC
sub-05,sub-04,600,1,VC,wholeVC
sub-05,sub-04,900,1,VC,wholeVC
sub-05,sub-04,1200,1,VC,wholeVC
sub-05,sub-04,2400,340,VC,wholeVC
sub-05,sub-04,3600,400,VC,wholeVC
sub-05,sub-04,4800,540,VC,wholeVC
sub-05,sub-04,6000,640,VC,wholeVC
sub-01,sub-02,300,10,VC,subareawise
sub-01,sub-02,600,180,VC,subareawise
sub-01,sub-02,900,200,VC,subareawise
sub-01,sub-02,1200,260,VC,subareawise
sub-01,sub-02,2400,220,VC,subareawise
sub-01,sub-02,3600,200,VC,subareawise
sub-01,sub-02,4800,100,VC,subareawise
sub-01,sub-02,6000,100,VC,subareawise
sub-02,sub-01,300,82,VC,subareawise
sub-02,sub-01,600,460,VC,subareawise
sub-02,sub-01,900,620,VC,subareawise
sub-02,sub-01,1200,820,VC,subareawise
sub-02,sub-01,2400,620,VC,subareawise
sub-02,sub-01,3600,420,VC,subareawise
sub-02,sub-01,4800,340,VC,subareawise
sub-02,sub-01,6000,280,VC,subareawise
sub-03,sub-01,300,140,VC,subareawise
sub-03,sub-01,600,280,VC,subareawise
sub-03,sub-01,900,380,VC,subareawise
sub-03,sub-01,1200,460,VC,subareawise
sub-03,sub-01,2400,340,VC,subareawise
sub-03,sub-01,3600,320,VC,subareawise
sub-03,sub-01,4800,220,VC,subareawise
sub-03,sub-01,6000,140,VC,subareawise
sub-03,sub-02,300,120,VC,subareawise
sub-03,sub-02,600,260,VC,subareawise
sub-03,sub-02,900,420,VC,subareawise
sub-03,sub-02,1200,440,VC,subareawise
sub-03,sub-02,2400,220,VC,subareawise
sub-03,sub-02,3600,180,VC,subareawise
sub-03,sub-02,4800,100,VC,subareawise
sub-03,sub-02,6000,86,VC,subareawise
sub-04,sub-01,300,1,VC,subareawise
sub-04,sub-01,600,380,VC,subareawise
sub-04,sub-01,900,420,VC,subareawise
sub-04,sub-01,1200,620,VC,subareawise
sub-04,sub-01,2400,460,VC,subareawise
sub-04,sub-01,3600,340,VC,subareawise
sub-04,sub-01,4800,200,VC,subareawise
sub-04,sub-01,6000,200,VC,subareawise
sub-04,sub-02,300,200,VC,subareawise
sub-04,sub-02,600,280,VC,subareawise
sub-04,sub-02,900,320,VC,subareawise
sub-04,sub-02,1200,480,VC,subareawise
sub-04,sub-02,2400,360,VC,subareawise
sub-04,sub-02,3600,320,VC,subareawise
sub-04,sub-02,4800,220,VC,subareawise
sub-04,sub-02,6000,220,VC,subareawise
sub-05,sub-01,300,82,VC,subareawise
sub-05,sub-01,600,220,VC,subareawise
sub-05,sub-01,900,380,VC,subareawise
sub-05,sub-01,1200,360,VC,subareawise
sub-05,sub-01,2400,240,VC,subareawise
sub-05,sub-01,3600,200,VC,subareawise
sub-05,sub-01,4800,100,VC,subareawise
sub-05,sub-01,6000,22,VC,subareawise
sub-05,sub-02,300,2,VC,subareawise
sub-05,sub-02,600,220,VC,subareawise
sub-05,sub-02,900,320,VC,subareawise
sub-05,sub-02,1200,360,VC,subareawise
sub-05,sub-02,2400,220,VC,subareawise
sub-05,sub-02,3600,200,VC,subareawise
sub-05,sub-02,4800,62,VC,subareawise
sub-05,sub-02,6000,6,VC,subareawise
sub-01,sub-03,300,14,VC,subareawise
sub-01,sub-03,600,100,VC,subareawise
sub-01,sub-03,900,160,VC,subareawise
sub-01,sub-03,1200,220,VC,subareawise
sub-01,sub-03,2400,180,VC,subareawise
sub-01,sub-03,3600,160,VC,subareawise
sub-01,sub-03,4800,84,VC,subareawise
sub-01,sub-03,6000,66,VC,subareawise
sub-01,sub-04,300,1,VC,subareawise
sub-01,sub-04,600,100,VC,subareawise
sub-01,sub-04,900,200,VC,subareawise
sub-01,sub-04,1200,240,VC,subareawise
sub-01,sub-04,2400,240,VC,subareawise
sub-01,sub-04,3600,180,VC,subareawise
sub-01,sub-04,4800,120,VC,subareawise
sub-01,sub-04,6000,100,VC,subareawise
sub-01,sub-05,300,8,VC,subareawise
sub-01,sub-05,600,72,VC,subareawise
sub-01,sub-05,900,220,VC,subareawise
sub-01,sub-05,1200,220,VC,subareawise
sub-01,sub-05,2400,220,VC,subareawise
