Source,Target,Number of samples,Alpha,ROI,Method
TH,AM,300,1,VC,full
TH,AM,600,2,VC,full
TH,AM,900,6,VC,full
TH,AM,1200,1,VC,full
TH,AM,2400,220,VC,full
TH,AM,3600,540,VC,full
TH,AM,4800,640,VC,full
TH,AM,6000,820,VC,full
AM,TH,300,1,VC,full
AM,TH,600,1,VC,full
AM,TH,900,1,VC,full
AM,TH,1200,1,VC,full
AM,TH,2400,780,VC,full
AM,TH,3600,1000,VC,full
AM,TH,4800,1200,VC,full
AM,TH,6000,1200,VC,full
ES,TH,300,1,VC,full
ES,TH,600,1,VC,full
ES,TH,900,1,VC,full
ES,TH,1200,1,VC,full
ES,TH,2400,520,VC,full
ES,TH,3600,680,VC,full
ES,TH,4800,1000,VC,full
ES,TH,6000,1000,VC,full
ES,AM,300,2,VC,full
ES,AM,600,2,VC,full
ES,AM,900,8,VC,full
ES,AM,1200,1,VC,full
ES,AM,2400,620,VC,full
ES,AM,3600,820,VC,full
ES,AM,4800,1000,VC,full
ES,AM,6000,1200,VC,full
KS,TH,300,1,VC,full
KS,TH,600,1,VC,full
KS,TH,900,2,VC,full
KS,TH,1200,8,VC,full
KS,TH,2400,580,VC,full
KS,TH,3600,620,VC,full
KS,TH,4800,1000,VC,full
KS,TH,6000,1000,VC,full
KS,AM,300,1,VC,full
KS,AM,600,2,VC,full
KS,AM,900,4,VC,full
KS,AM,1200,2,VC,full
KS,AM,2400,620,VC,full
KS,AM,3600,820,VC,full
KS,AM,4800,1000,VC,full
KS,AM,6000,1000,VC,full
JP,TH,300,1,VC,full
JP,TH,600,2,VC,full
JP,TH,900,1,VC,full
JP,TH,1200,8,VC,full
JP,TH,2400,340,VC,full
JP,TH,3600,580,VC,full
JP,TH,4800,600,VC,full
JP,TH,6000,820,VC,full
JP,AM,300,2,VC,full
JP,AM,600,2,VC,full
JP,AM,900,2,VC,full
JP,AM,1200,1,VC,full
JP,AM,2400,320,VC,full
JP,AM,3600,600,VC,full
JP,AM,4800,600,VC,full
JP,AM,6000,740,VC,full
TH,ES,300,1,VC,full
TH,ES,600,1,VC,full
TH,ES,900,1,VC,full
TH,ES,1200,2,VC,full
TH,ES,2400,280,VC,full
TH,ES,3600,400,VC,full
TH,ES,4800,600,VC,full
TH,ES,6000,780,VC,full
TH,KS,300,1,VC,full
TH,KS,600,1,VC,full
TH,KS,900,1,VC,full
TH,KS,1200,1,VC,full
TH,KS,2400,240,VC,full
TH,KS,3600,420,VC,full
TH,KS,4800,580,VC,full
TH,KS,6000,800,VC,full
TH,JP,300,1,VC,full
TH,JP,600,1,VC,full
TH,JP,900,1,VC,full
TH,JP,1200,1,VC,full
TH,JP,2400,400,VC,full
TH,JP,3600,420,VC,full
TH,JP,4800,480,VC,full
TH,JP,6000,660,VC,full
AM,ES,300,1,VC,full
AM,ES,600,1,VC,full
AM,ES,900,1,VC,full
AM,ES,1200,1,VC,full
AM,ES,2400,800,VC,full
AM,ES,3600,800,VC,full
AM,ES,4800,1000,VC,full
AM,ES,6000,1200,VC,full
AM,KS,300,1,VC,full
AM,KS,600,1,VC,full
AM,KS,900,40,VC,full
AM,KS,1200,380,VC,full
AM,KS,2400,600,VC,full
AM,KS,3600,800,VC,full
AM,KS,4800,1200,VC,full
AM,KS,6000,1400,VC,full
AM,JP,300,10,VC,full
AM,JP,600,1,VC,full
AM,JP,900,2,VC,full
AM,JP,1200,8,VC,full
AM,JP,2400,560,VC,full
AM,JP,3600,600,VC,full
AM,JP,4800,1000,VC,full
AM,JP,6000,1000,VC,full
ES,KS,300,1,VC,full
ES,KS,600,2,VC,full
ES,KS,900,1,VC,full
ES,KS,1200,1,VC,full
ES,KS,2400,380,VC,full
ES,KS,3600,580,VC,full
ES,KS,4800,800,VC,full
ES,KS,6000,1200,VC,full
ES,JP,300,1,VC,full
ES,JP,600,1,VC,full
ES,JP,900,1,VC,full
ES,JP,1200,38,VC,full
ES,JP,2400,400,VC,full
ES,JP,3600,460,VC,full
ES,JP,4800,800,VC,full
ES,JP,6000,1000,VC,full
KS,ES,300,1,VC,full
KS,ES,600,1,VC,full
KS,ES,900,10,VC,full
KS,ES,1200,24,VC,full
KS,ES,2400,420,VC,full
KS,ES,3600,640,VC,full
KS,ES,4800,800,VC,full
KS,ES,6000,1200,VC,full
KS,JP,300,2,VC,full
KS,JP,600,1,VC,full
KS,JP,900,1,VC,full
KS,JP,1200,2,VC,full
KS,JP,2400,420,VC,full
KS,JP,3600,740,VC,full
KS,JP,4800,1000,VC,full
KS,JP,6000,1400,VC,full
JP,ES,300,2,VC,full
JP,ES,600,1,VC,full
JP,ES,900,2,VC,full
JP,ES,1200,24,VC,full
JP,ES,2400,420,VC,full
JP,ES,3600,620,VC,full
JP,ES,4800,580,VC,full
JP,ES,6000,620,VC,full
JP,KS,300,1,VC,full
JP,KS,600,1,VC,full
JP,KS,900,1,VC,full
JP,KS,1200,1,VC,full
JP,KS,2400,340,VC,full
JP,KS,3600,400,VC,full
JP,KS,4800,540,VC,full
JP,KS,6000,640,VC,full
